idAlbum,título,selloDiscográfico,fechaLanzamiento
1,La tierra del olvido,Polygram,25/07/1995
2,Vives,Sony Music Latin,10/11/2017
3,Cielo de tambores,Codiscos,20/12/1990
4,Huellas del pasado,Codiscos,31/01/1995
5,"Oral Fixation, Vol. 2",Epic,28/11/2005
6,¿Dónde están los ladrones?,Sony Music Latin,29/09/1998
7,El Dorado,BMG,24/10/1995
8,Caribe atómico,BMG,23/06/1998
9,Título de amor,Sony Music Latin,25/05/1993
10,Brindo con el alma,CBS,27/05/1986
11,El mismo,Sony Music Latin,06/05/2015
12,Oro,Nacional Records,02/03/2010
13,Vibras ,Universal Music,25/05/2018
14,Energía,Universal Music,24/06/2016
15,"Pescador, Lucero y Río",El Gallo Productions,22/12/1993
16,Herencia africana: Salsa de Colombia,PolyGram France,30/06/1998
17,El Binomio de Oro,Codiscos,15/09/1976
18,2000,Codiscos,30/09/1998
19,Pies descalzos,Sony Music Latin,06/10/1995
20,Déjame entrar,EMI Latin,06/11/2001
