idGénero,nombre,descripción
1,Pop,"La expresión música pop (del inglés pop music, contracción de popular music) hace referencia a una combinación de distintos géneros musicales [altamente populares dentro de una sociedad. Este tipo de música es hecha para ser altamente comercializada."
2,Rock,"El rock es un género musical que surgió a partir de la combinación de otros tipos musicales preexistentes, principalmente el rhythm and blues y el country. La música rock también abarcó y sirvió de vehículo para los movimientos culturales y sociales, lo que llevó a la creación de subculturas y contracultura."
3,Salsa,"La salsa es el nombre comercial dado, en la década de 1960, al género musical resultante de una síntesis de influencias musicales cubanas con otros elementos de música caribeña, latinoamericana y jazz, en especial el jazz afrocubano."
4,Vallenato,"El vallenato es un género musical autóctono de la Región Caribe de Colombia. El vallenato tiene cuatro ritmos, cuatro aires, como dicen en Valledupar: paseo, son, puya y merengue (no hay que confundir son y merengue con el son cubano y el merengue dominicano). Y son totalmente distintos uno de otros."
5,Reggaeton,"El reggaetón o reguetón es un género de música que nace como fenómeno underground entre las barriadas rurales de Panamá y Puerto Rico, variante del reggae y el Hip-Hop en español, influenciado por ritmos latinos y tomando como base rítmica el danceHall reggae mejor conocido como dembow originario de Jamaica."
6,Andina colombiana,"Música andina es un término que se aplica a una gama muy vasta de géneros musicales originados en los Andes de Colombia. La música andina colombiana es muy amplia y variada, ya que cada región le imprime su toque cultural, derivando varios ritmos entre los cuales esta el bambuco, guabina, torbellino , sanjuanero, carranga, guasca, pasillo, rajaleña."
7,Reggae,Reggae es un término inglés que permite nombrar a un estilo musical que se originó en Jamaica durante la década de 1960. Se trata de un género que derivó del rocksteady y del ska y que tiene como principal característica la repetición constante de su ritmo.
8,Merengue,
9,Latina fusión,
10,Soul,
